"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.696376208E0,3.715496242E-1,7.539399862E-2,1.107813478E-1,3.949758034E-1
2.706317208E0,3.268605244E-1,5.737814248E-2,1.108342651E-1,3.498775328E-1
2.716259208E0,2.347091366E-1,5.887561440E-2,1.329506274E-1,2.760988702E-1
2.726201208E0,9.784087479E-2,1.208005518E-1,1.816531098E-1,2.390888169E-1
2.736142208E0,-5.839716598E-2,1.593290251E-1,2.274822704E-1,2.838030138E-1
2.746083958E0,-2.078221773E-1,1.425831842E-1,2.332455786E-1,3.433999442E-1
2.756024958E0,-3.406770565E-1,4.332319021E-2,2.122587521E-1,4.037220993E-1
2.765966958E0,-4.147443219E-1,-9.331512988E-2,1.531676678E-1,4.518638074E-1
2.775907958E0,-4.553976734E-1,-1.808087718E-1,1.046666220E-1,5.010328878E-1
2.785849958E0,-5.282127576E-1,-2.132783604E-1,9.612690970E-2,5.776995404E-1
2.795790958E0,-6.373473832E-1,-1.822313994E-1,1.096925962E-1,6.719021026E-1
2.805732958E0,-7.433666123E-1,-1.251853788E-1,1.288140146E-1,7.647603218E-1
2.815674958E0,-7.791888481E-1,-1.131453770E-1,7.443505526E-2,7.908714907E-1
2.825615958E0,-7.794851558E-1,-1.006323355E-1,3.511940047E-2,7.867384237E-1
2.835557958E0,-7.634300172E-1,-7.931689560E-2,7.784982920E-3,7.675787693E-1
2.845498958E0,-7.120509718E-1,-8.445952177E-2,2.070981458E-2,7.173415461E-1
2.855440958E0,-6.284056748E-1,-6.519353092E-2,5.949322656E-2,6.345733469E-1
2.865381958E0,-5.357077186E-1,-4.501654387E-2,7.971406773E-2,5.434736255E-1
2.875323958E0,-4.537984599E-1,-4.404415190E-2,9.853742436E-2,4.664574509E-1
2.885264958E0,-4.005127837E-1,-1.537876189E-2,1.219297953E-1,4.189437566E-1
2.895206958E0,-3.317148829E-1,-1.111555696E-2,1.556087342E-1,3.665684074E-1
2.905147958E0,-2.845011015E-1,-2.182063937E-2,2.227077265E-1,3.619609765E-1
2.915089958E0,-2.426942405E-1,-7.202951074E-2,2.820790386E-1,3.790215414E-1
2.925031958E0,-2.082940476E-1,-1.195714670E-1,3.376674946E-1,4.143707071E-1
2.934972958E0,-1.678947575E-1,-1.511125177E-1,3.699651749E-1,4.334718829E-1
2.944914958E0,-1.236580861E-1,-1.507435584E-1,3.701357675E-1,4.183484540E-1
2.954855958E0,-1.016762097E-1,-1.262776387E-1,3.499981029E-1,3.857236909E-1
2.964797958E0,-1.092553706E-1,-8.248608649E-2,3.137988679E-1,3.423600736E-1
2.974738958E0,-7.911326632E-2,-2.175807416E-2,2.551422317E-1,2.680109720E-1
2.984680958E0,-1.141098753E-2,4.757119238E-2,1.823031740E-1,1.887529502E-1
2.994621958E0,4.944493264E-2,9.710178673E-2,1.308513308E-1,1.702810298E-1
3.004563958E0,1.014174704E-1,1.288632774E-1,8.888367131E-2,1.865249437E-1
3.014505958E0,1.649593091E-1,1.170559949E-1,4.897160053E-2,2.081151058E-1
3.024446958E0,2.220528384E-1,1.107912880E-1,4.089060232E-2,2.515039043E-1
